province_state,country_region,observation_date,continent,us_county,us_state,confirmed_total,deaths_total,recovered_total,confirmed_daily,deaths_daily,recovered_daily,latitude,longitude
,Japan,2020-02-24 00:00:00+00,,,,159,1,22,12,0,0,36.0,138.0
,Japan,2020-02-25 00:00:00+00,,,,170,1,22,11,0,0,36.0,138.0
,Japan,2020-02-26 00:00:00+00,,,,189,2,22,19,1,0,36.0,138.0
,Japan,2020-02-27 00:00:00+00,,,,214,4,22,25,2,0,36.0,138.0
,Japan,2020-02-28 00:00:00+00,,,,228,4,22,14,0,0,36.0,138.0
,Japan,2020-02-29 00:00:00+00,,,,241,5,32,13,1,10,36.0,138.0
,Japan,2020-03-01 00:00:00+00,,,,256,6,32,15,1,0,36.0,138.0
,Japan,2020-03-02 00:00:00+00,,,,274,6,32,18,0,0,36.0,138.0
,Japan,2020-03-03 00:00:00+00,,,,293,6,43,19,0,11,36.0,138.0
,Japan,2020-03-04 00:00:00+00,,,,331,6,43,38,0,0,36.0,138.0
,Japan,2020-03-05 00:00:00+00,,,,360,6,43,29,0,0,36.0,138.0
,Japan,2020-03-06 00:00:00+00,,,,420,6,46,60,0,3,36.0,138.0
,Japan,2020-03-07 00:00:00+00,,,,461,6,76,41,0,30,36.0,138.0
,Japan,2020-03-08 00:00:00+00,,,,502,6,76,41,0,0,36.0,138.0
,Japan,2020-03-09 00:00:00+00,,,,511,10,76,9,4,0,36.0,138.0
,Japan,2020-03-10 00:00:00+00,,,,581,10,101,70,0,25,36.0,138.0
,Japan,2020-03-11 00:00:00+00,,,,639,15,118,58,5,17,36.0,138.0
,Japan,2020-03-12 00:00:00+00,,,,639,16,118,0,1,0,36.0,138.0
,Japan,2020-03-13 00:00:00+00,,,,701,19,118,62,3,0,36.0,138.0
,Japan,2020-03-14 00:00:00+00,,,,773,22,118,72,3,0,36.0,138.0
,Japan,2020-03-15 00:00:00+00,,,,839,22,118,66,0,0,36.0,138.0
,Japan,2020-03-16 00:00:00+00,,,,825,27,144,-14,5,26,36.0,138.0
,Japan,2020-03-17 00:00:00+00,,,,878,29,144,53,2,0,36.0,138.0
,Japan,2020-03-18 00:00:00+00,,,,889,29,144,11,0,0,36.0,138.0
,Japan,2020-03-19 00:00:00+00,,,,924,29,150,35,0,6,36.0,138.0
,Japan,2020-03-20 00:00:00+00,,,,963,33,191,39,4,41,36.0,138.0
,Japan,2020-03-21 00:00:00+00,,,,1007,35,232,44,2,41,36.0,138.0
,Japan,2020-03-22 00:00:00+00,,,,1086,40,235,79,5,3,36.0,138.0
,Japan,2020-03-23 00:00:00+00,,,,1086,40,235,0,0,0,36.0,138.0
,Singapore,2020-01-22 00:00:00+00,,,,0,0,0,0,0,0,1.2833,103.8333
,Singapore,2020-01-23 00:00:00+00,,,,1,0,0,1,0,0,1.2833,103.8333
,Singapore,2020-01-24 00:00:00+00,,,,3,0,0,2,0,0,1.2833,103.8333
,Singapore,2020-01-25 00:00:00+00,,,,3,0,0,0,0,0,1.2833,103.8333
,Singapore,2020-01-26 00:00:00+00,,,,4,0,0,1,0,0,1.2833,103.8333
,Singapore,2020-01-27 00:00:00+00,,,,5,0,0,1,0,0,1.2833,103.8333
,Singapore,2020-01-28 00:00:00+00,,,,7,0,0,2,0,0,1.2833,103.8333
,Singapore,2020-01-29 00:00:00+00,,,,7,0,0,0,0,0,1.2833,103.8333
,Singapore,2020-01-30 00:00:00+00,,,,10,0,0,3,0,0,1.2833,103.8333
,Singapore,2020-01-31 00:00:00+00,,,,13,0,0,3,0,0,1.2833,103.8333
,Singapore,2020-02-01 00:00:00+00,,,,16,0,0,3,0,0,1.2833,103.8333
,Singapore,2020-02-02 00:00:00+00,,,,18,0,0,2,0,0,1.2833,103.8333
,Singapore,2020-02-03 00:00:00+00,,,,18,0,0,0,0,0,1.2833,103.8333
,Singapore,2020-02-04 00:00:00+00,,,,24,0,0,6,0,0,1.2833,103.8333
,Singapore,2020-02-05 00:00:00+00,,,,28,0,0,4,0,0,1.2833,103.8333
,Singapore,2020-02-06 00:00:00+00,,,,28,0,0,0,0,0,1.2833,103.8333
,Singapore,2020-02-07 00:00:00+00,,,,30,0,0,2,0,0,1.2833,103.8333
,Singapore,2020-02-08 00:00:00+00,,,,33,0,2,3,0,2,1.2833,103.8333
,Singapore,2020-02-09 00:00:00+00,,,,40,0,2,7,0,0,1.2833,103.8333
,Singapore,2020-02-10 00:00:00+00,,,,45,0,2,5,0,0,1.2833,103.8333
,Singapore,2020-02-11 00:00:00+00,,,,47,0,9,2,0,7,1.2833,103.8333
,Singapore,2020-02-12 00:00:00+00,,,,50,0,15,3,0,6,1.2833,103.8333
,Singapore,2020-02-13 00:00:00+00,,,,58,0,15,8,0,0,1.2833,103.8333
,Singapore,2020-02-14 00:00:00+00,,,,67,0,17,9,0,2,1.2833,103.8333
,Singapore,2020-02-15 00:00:00+00,,,,72,0,18,5,0,1,1.2833,103.8333
,Singapore,2020-02-16 00:00:00+00,,,,75,0,18,3,0,0,1.2833,103.8333
,Singapore,2020-02-17 00:00:00+00,,,,77,0,24,2,0,6,1.2833,103.8333
,Singapore,2020-02-18 00:00:00+00,,,,81,0,29,4,0,5,1.2833,103.8333
,Singapore,2020-02-19 00:00:00+00,,,,84,0,34,3,0,5,1.2833,103.8333
,Singapore,2020-02-20 00:00:00+00,,,,84,0,34,0,0,0,1.2833,103.8333
,Singapore,2020-02-21 00:00:00+00,,,,85,0,37,1,0,3,1.2833,103.8333
,Singapore,2020-02-22 00:00:00+00,,,,85,0,37,0,0,0,1.2833,103.8333
,Singapore,2020-02-23 00:00:00+00,,,,89,0,51,4,0,14,1.2833,103.8333
,Singapore,2020-02-24 00:00:00+00,,,,89,0,51,0,0,0,1.2833,103.8333
,Singapore,2020-02-25 00:00:00+00,,,,91,0,53,2,0,2,1.2833,103.8333
,Singapore,2020-02-26 00:00:00+00,,,,93,0,62,2,0,9,1.2833,103.8333
,Singapore,2020-02-27 00:00:00+00,,,,93,0,62,0,0,0,1.2833,103.8333
,Singapore,2020-02-28 00:00:00+00,,,,93,0,62,0,0,0,1.2833,103.8333
,Singapore,2020-02-29 00:00:00+00,,,,102,0,72,9,0,10,1.2833,103.8333
,Singapore,2020-03-01 00:00:00+00,,,,106,0,72,4,0,0,1.2833,103.8333
,Singapore,2020-03-02 00:00:00+00,,,,108,0,78,2,0,6,1.2833,103.8333
,Singapore,2020-03-03 00:00:00+00,,,,110,0,78,2,0,0,1.2833,103.8333
,Singapore,2020-03-04 00:00:00+00,,,,110,0,78,0,0,0,1.2833,103.8333
,Singapore,2020-03-05 00:00:00+00,,,,117,0,78,7,0,0,1.2833,103.8333
,Singapore,2020-03-06 00:00:00+00,,,,130,0,78,13,0,0,1.2833,103.8333
,Singapore,2020-03-07 00:00:00+00,,,,138,0,78,8,0,0,1.2833,103.8333
,Singapore,2020-03-08 00:00:00+00,,,,150,0,78,12,0,0,1.2833,103.8333
,Singapore,2020-03-09 00:00:00+00,,,,150,0,78,0,0,0,1.2833,103.8333
,Singapore,2020-03-10 00:00:00+00,,,,160,0,78,10,0,0,1.2833,103.8333
,Singapore,2020-03-11 00:00:00+00,,,,178,0,96,18,0,18,1.2833,103.8333
,Singapore,2020-03-12 00:00:00+00,,,,178,0,96,0,0,0,1.2833,103.8333
,Singapore,2020-03-13 00:00:00+00,,,,200,0,97,22,0,1,1.2833,103.8333
,Singapore,2020-03-14 00:00:00+00,,,,212,0,105,12,0,8,1.2833,103.8333
,Singapore,2020-03-15 00:00:00+00,,,,226,0,105,14,0,0,1.2833,103.8333
,Singapore,2020-03-16 00:00:00+00,,,,243,0,109,17,0,4,1.2833,103.8333
,Singapore,2020-03-17 00:00:00+00,,,,266,0,114,23,0,5,1.2833,103.8333
,Singapore,2020-03-18 00:00:00+00,,,,313,0,114,47,0,0,1.2833,103.8333
,Singapore,2020-03-19 00:00:00+00,,,,345,0,114,32,0,0,1.2833,103.8333
,Singapore,2020-03-20 00:00:00+00,,,,385,0,124,40,0,10,1.2833,103.8333
,Singapore,2020-03-21 00:00:00+00,,,,432,2,140,47,2,16,1.2833,103.8333
,Singapore,2020-03-22 00:00:00+00,,,,455,2,144,23,0,4,1.2833,103.8333
,Singapore,2020-03-23 00:00:00+00,,,,455,2,144,0,0,0,1.2833,103.8333
,Nepal,2020-01-22 00:00:00+00,,,,0,0,0,0,0,0,28.1667,84.25
,Nepal,2020-01-23 00:00:00+00,,,,0,0,0,0,0,0,28.1667,84.25
,Nepal,2020-01-24 00:00:00+00,,,,0,0,0,0,0,0,28.1667,84.25
,Nepal,2020-01-25 00:00:00+00,,,,1,0,0,1,0,0,28.1667,84.25
,Nepal,2020-01-26 00:00:00+00,,,,1,0,0,0,0,0,28.1667,84.25
,Nepal,2020-01-27 00:00:00+00,,,,1,0,0,0,0,0,28.1667,84.25
,Nepal,2020-01-28 00:00:00+00,,,,1,0,0,0,0,0,28.1667,84.25
,Nepal,2020-01-29 00:00:00+00,,,,1,0,0,0,0,0,28.1667,84.25
,Nepal,2020-01-30 00:00:00+00,,,,1,0,0,0,0,0,28.1667,84.25
,Nepal,2020-01-31 00:00:00+00,,,,1,0,0,0,0,0,28.1667,84.25
,Nepal,2020-02-01 00:00:00+00,,,,1,0,0,0,0,0,28.1667,84.25
,Nepal,2020-02-02 00:00:00+00,,,,1,0,0,0,0,0,28.1667,84.25
,Nepal,2020-02-03 00:00:00+00,,,,1,0,0,0,0,0,28.1667,84.25
,Nepal,2020-02-04 00:00:00+00,,,,1,0,0,0,0,0,28.1667,84.25
,Nepal,2020-02-05 00:00:00+00,,,,1,0,0,0,0,0,28.1667,84.25
,Nepal,2020-02-06 00:00:00+00,,,,1,0,0,0,0,0,28.1667,84.25
,Nepal,2020-02-07 00:00:00+00,,,,1,0,0,0,0,0,28.1667,84.25
,Nepal,2020-02-08 00:00:00+00,,,,1,0,0,0,0,0,28.1667,84.25
,Nepal,2020-02-09 00:00:00+00,,,,1,0,0,0,0,0,28.1667,84.25
,Nepal,2020-02-10 00:00:00+00,,,,1,0,0,0,0,0,28.1667,84.25
,Nepal,2020-02-11 00:00:00+00,,,,1,0,0,0,0,0,28.1667,84.25
,Nepal,2020-02-12 00:00:00+00,,,,1,0,1,0,0,1,28.1667,84.25
,Nepal,2020-02-13 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-02-14 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-02-15 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-02-16 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-02-17 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-02-18 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-02-19 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-02-20 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-02-21 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-02-22 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-02-23 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-02-24 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-02-25 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-02-26 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-02-27 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-02-28 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-02-29 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-03-01 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-03-02 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-03-03 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-03-04 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-03-05 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-03-06 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-03-07 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-03-08 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-03-09 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-03-10 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-03-11 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-03-12 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-03-13 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-03-14 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-03-15 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-03-16 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-03-17 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-03-18 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-03-19 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
,Nepal,2020-03-20 00:00:00+00,,,,1,0,1,0,0,0,28.1667,84.25
